customer_city,total_orders,lat,lng
abadia dos dourados,3,-18.474476487136112,-47.4078365252738
abadiania,1,-16.19381961165601,-48.70844192109156
abaete,12,-19.15854932136434,-45.44627527095028
abaetetuba,11,-1.7230241817101852,-48.88106537387817
abaiara,2,-7.358247021378397,-39.04581684412134
abaira,2,-13.250394953318787,-41.66353606594831
abare,2,-8.689967452179038,-39.16414406899501
abatia,3,-23.304513187420707,-50.31116611469426
abdon batista,1,-27.608818306014133,-51.02488531826943
abelardo luz,6,-26.565375356044346,-52.32532803924757
abrantes,1,-12.83017402246026,-38.26510695136311
abre campo,5,-20.297406091839964,-42.47567909579939
abreu e lima,11,-7.911567810572414,-34.91298599014977
acaiaca,2,-20.36291378049634,-43.14402222191236
acailandia,7,-4.944747265765335,-47.48256492492615
acajutiba,1,-11.663495576693935,-38.023852706144226
acarau,8,-2.8903818750514922,-40.113084822473105
acari,1,-6.436124915575116,-36.640335529330684
acegua,2,-31.774987418302466,-54.15690689012052
acopiara,7,-6.094117746073023,-39.44897848740864
acreuna,7,-17.39807627005333,-50.3725163925381
acu,2,-5.5782561625611145,-36.91491532275635
acucena,1,-19.129221349636005,-42.64363789453825
adamantina,35,-21.6957428787417,-51.04636183397665
adhemar de barros,1,-22.69031468157406,-52.73463407849236
adolfo,5,-21.234456456293216,-49.64271564526813
adrianopolis,1,-24.668314396331997,-48.97598733352184
adustina,1,-10.536616901316743,-38.11492053385937
afogados da ingazeira,8,-7.759829833939791,-37.560205074371495
afonso claudio,11,-20.075987175514054,-41.12398801850307
afranio,2,-8.532137464656772,-41.025149765576884
agisse,1,-23.537328737497397,-48.54493393688767
agrestina,1,-8.45504693653698,-35.94651434518298
agrolandia,1,-27.407760672796563,-49.82991378792887
agronomica,2,-27.268238165766785,-49.713448801834254
agua boa,18,-14.633529809197766,-50.777346547314345
agua branca,5,-7.000707731176695,-40.43793102457497
agua clara,2,-20.44129869474028,-52.87690731857362
agua comprida,2,-20.05738309692623,-48.10875095126893
agua doce,1,-26.997539482686065,-51.55508230054839
agua doce do norte,4,-18.541736433301377,-40.9840576876171
agua fria de goias,1,-14.972415223806218,-47.78532009005647
agua limpa,1,-18.076322394559124,-48.76160432422692
agua nova,1,-6.205206243591784,-38.291460507110884
agua preta,1,-8.70575416352258,-35.51654982122744
agua santa,2,-28.183372036296035,-52.03985047911124
aguai,9,-22.057066284995376,-46.97618165238234
aguas belas,6,-9.107676114006257,-37.116796596556135
aguas claras,1,-28.00030351378292,-49.17546213298624
aguas da prata,10,-21.939687492514494,-46.713331769849546
aguas de lindoia,22,-22.477061355857693,-46.6190030778751
aguas de santa barbara,3,-22.87611866084379,-49.239805232619844
aguas de sao pedro,2,-22.60218529739545,-47.87191829441937
aguas formosas,5,-17.08323622056864,-40.938038472751764
aguas frias,1,-26.881351672420998,-52.859710992167756
aguas lindas de goias,24,-15.72491838980515,-48.277047930877984
aguas mornas,1,-27.70103345965437,-48.83820955993601
aguas vermelhas,3,-15.64515303095306,-41.48340835828967
agudo,1,-29.643273595312962,-53.2459255611156
agudos,16,-22.47071707786102,-48.9862934145237
aguia branca,1,-18.985619914878118,-40.741235369779915
aimores,10,-19.501259675907107,-41.071023646550685
aiuaba,1,-6.583338622041794,-40.13887446818398
aiuruoca,4,-21.978848424131765,-44.60576945448214
ajuricaba,2,-28.23771966641463,-53.76337497269791
alagoa,1,-22.171830593467934,-44.642598725792546
alagoa grande,1,-7.041755696576409,-35.63219332049747
alagoa nova,1,-7.06196902730586,-35.76440866320551
alagoinha,2,-8.0334872633233,-36.42359297910236
alagoinhas,40,-12.136744532665942,-38.42344400813099
alambari,3,-23.56157106605844,-47.88510054852834
alcantara,1,-2.3894526933161426,-44.462232805069
alcinopolis,6,-18.32589093656241,-53.710012705921415
alcobaca,4,-17.50293623343519,-39.270537988509126
alegre,17,-20.760206303395872,-41.53516276114848
alegrete,35,-29.78957258497392,-55.79128645489499
alegrete do piaui,1,-7.241927090093527,-40.84388228862271
alegria,1,-25.382167448461985,-50.314823866095935
alem paraiba,28,-21.872452912165326,-42.693540638079725
alexandra,1,-25.5534229350904,-48.62752422974045
alexandria,2,-6.413355657069214,-38.013967260122904
alexandrita,1,-19.70290819846817,-50.41424707469225
alexania,5,-16.082989120550724,-48.50856735927953
alfenas,43,-21.423970169543413,-45.95136350316126
alfredo chaves,7,-20.627031870241968,-40.74931056937235
alfredo marcondes,1,-21.954288886597627,-51.41615439159179
alfredo vasconcelos,3,-21.149443547778596,-43.767193356103036
alfredo wagner,2,-27.70013863320932,-49.33157442341497
alhandra,2,-7.433968779567003,-34.910447698646784
alianca,1,-7.5946400903932405,-35.22248909430234
alianca do tocantins,2,-11.304778203322233,-48.9371764135414
almas,1,-11.567892561876574,-47.16831043399929
almenara,14,-16.176287602159036,-40.69302960684199
almino afonso,1,-6.155247530745038,-37.76818300221504
almirante tamandare,35,-25.333449013270254,-49.28401729149067
almirante tamandare do sul,1,-28.116015587988002,-52.914714553089986
alpercata,2,-18.978826415455085,-41.97968305588025
alpestre,1,-27.25035234287266,-53.03555485473069
alpinopolis,7,-20.858237040079114,-46.38672391868265
alta floresta,12,-9.90209628377088,-56.14798246464171
alta floresta d'oeste,3,-11.947014804296677,-61.99946134183564
altamira,25,-3.2066377414917944,-52.21607476388613
altamira do parana,2,-24.79917358055336,-52.715429195588364
altaneira,2,-6.999919634947142,-39.739299453186206
alterosa,3,-21.255833645504303,-46.14487857042153
altinho,1,-8.488189811112091,-36.06023398040497
altinopolis,4,-21.02087356955779,-47.37717049956644
alto alegre,3,-18.92291329284763,-52.82776923062429
alto alegre do iguacu,2,-22.89671170647851,-51.890841433961405
alto alegre do maranhao,1,-4.214134911794691,-44.44951278413494
alto alegre do pindare,1,-3.7329394695563454,-45.86707229833637
alto araguaia,5,-17.31726008132973,-53.223327746417894
alto boa vista,5,-11.679428518842508,-51.37675429719136
alto caparao,2,-20.44423852885907,-41.87048771838964
alto do rodrigues,8,-5.294882466955311,-36.75812276543539
alto garcas,2,-16.94618701116767,-53.53123705275049
alto horizonte,2,-14.194380211559102,-49.34015563206796
alto jequitiba,3,-20.426521477998417,-41.964250622017296
alto paraiso,2,-14.027472742996528,-60.32705394674409
alto paraiso de goias,9,-14.139492062754918,-47.51685167996019
alto parana,2,-23.130730094832906,-52.321864300392704
alto parnaiba,5,-9.125525871165562,-45.947181513960324
alto piquiri,1,-24.032267622640834,-53.43985746757152
alto rio doce,4,-21.023159198844187,-43.41263491879728
alto rio novo,2,-19.05822235499108,-41.01879814974316
alto santo,3,-5.519712483344855,-38.26737385532684
alto taquari,3,-17.831339487997212,-53.28242914765827
altonia,3,-23.87234886066627,-53.89350097315852
altos,5,-5.037933605097157,-42.45957464672137
aluminio,13,-23.524098716525277,-47.25667632200116
alvarenga,2,-19.417557882438132,-41.72756415518321
alvares florence,2,-20.320866349002348,-49.909107783225615
alvares machado,8,-22.07630414604995,-51.466719461990174
alvaro de carvalho,2,-22.083206931312755,-49.717641246663305
alvinopolis,11,-20.11150606065766,-43.066597730401426
alvorada,56,-29.307385485385943,-50.97453065890542
alvorada d'oeste,1,-11.35023142656732,-62.28751193399718
alvorada do gurgueia,1,-8.451118499999952,-43.92315624999995
alvorada do norte,3,-14.485339149785249,-46.506223797764335
amambai,6,-23.090817384851352,-55.22809370379079
amanari,1,-3.504514941264218,-39.57289793990247
amapa do maranhao,1,-1.6732576653020137,-46.01030262739159
amapora,2,-23.095387898319984,-52.786050657616805
amaraji,2,-8.376909914843816,-35.451891714402564
amarante,1,-6.242804734400218,-42.853531041069
amargosa,1,-13.027915958035509,-39.60169104219675
amelia rodrigues,3,-12.399008114779287,-38.75668208849201
america dourada,1,-11.45534706517941,-41.45792194795551
americana,216,-22.737256111041713,-47.323699357946985
americano do brasil,3,-16.25358822328803,-49.981568965848076
americo brasiliense,17,-21.73283329963874,-48.109930775797594
